cognome,nome,sesso,data_nascita,cod_fiscale,telefono,email,codice_ambulatorio
China,Elide,F,1980-12-21,CHNLDE02H52B429N,051879211,elid.chin@tin.it,1
Chiellini,Ludovica,F,1963-08-27,CHLLVC92M47C950A,051177904,ludovica.chiellini@gmail.com,1
Claveri,Iside,F,1933-07-21,CLVSDI28P61D491Y,051634292,iside.claveri@aruba.it,1
Perosi,Ennio,M,1989-10-06,PRSNNE22L08L439N,051725996,eperosi@teletu.it,1
Persichetti,Torquato,M,1985-03-25,PRSTQT83D22C338N,051955064,torquato.persichetti@yahoo.com,1
Cremonin,Ersilia,F,1980-07-04,CRMRSL34A54F009D,051990097,ersilia.cremonin@tiscali.it,2
Viscontini,Ernesto,M,1974-10-10,VSCRST81S18A371R,051139138,ernesto.viscontini@gmail.com,2
Pagliaccio,Amone,M,1973-10-17,PGLMNA68C10G629P,051555242,amone.pagliaccio@tiscali.it,2
Cagnazzi,Lapo,M,1936-06-02,CGNLPA09H29D675D,051144324,lapo.cagnazzi@tin.it,2
Panariello,Adolfo,M,1981-03-13,PNRDLF45C07H350O,051817255,a.panariello@aruba.it,2
Boncio,Costantino,M,1964-07-19,BNCCTN08R06B859V,0532380540,costantino.boncio@aruba.it,3
Gaiga,Rossana,F,1934-03-09,GGARSN28R50A149M,0532484952,rossana.gaiga@tin.it,3
Go,Raffaella,F,1942-04-04,GOXRFL14M50C215O,0532741305,raffaella.go@gmail.com,3
Giardinello,Aurora,F,1978-08-19,GRDRRA01L54I535R,0532679169,aurora.giardinello@katamail.it,3
Colucci,Gianmarco,M,1983-10-31,CLCGMR11M15E672W,0532651576,gian.colu@teletu.it,3
Benoni,Marina,F,1934-06-12,BNNMRN58M69D216A,0532867183,marina.benoni@yahoo.it,4
Vigne,Agata,F,1931-12-15,VGNGTA11P65A566J,0532432010,agat.vign@libero.it,4
Mattera,Goffredo,M,1945-12-31,MTTGFR30M11F316L,0532300320,goffredo.mattera@tin.it,4
Belvedere,Gaspare,M,1940-12-09,BLVGPR76H10A409P,0532441344,gaspare.belvedere@katamail.it,4
Briscioli,Agata,F,1936-12-21,BRSGTA09M55D395X,0532745114,a.briscioli@gmail.com,4
