cognome,nome,sesso,data_nascita,cod_fiscale,Via,civico,cap,telefono,email,citta,CF_Medico,
Bagini,Dora,F,1961-11-23,BGNDRO62S65I321M,Via P.Bonfante,248/b,40121,0510848581,dora.bagi@gmail.com,Bologna,PGLMNA68C10G629P,
Bignotto,Maddalena,F,1962-03-01,BGNMDL40C66A784V,Via Brianza,33,40121,0510848576,m.bignotto@gmail.it,Bologna,CHLLVC92M47C950A,
Bellafronte,Valter,M,1965-02-17,BLLVTR66L12I606G,Via A.Giordano,186,40121,0510656042,v.bellafronte@gmail.com,Bologna,CRMRSL34A54F009D,
Belardi,Tiziana,F,1984-03-05,BLRTZN99D54E432Q,Via A.Garibaldi,179/e,40121,0510848579,tiziana.belardi@gmail.com,Bologna,CHNLDE02H52B429N,
Bonforte,Alessia,F,1938-09-17,BNFLSS64D62I219J,Via Afrodite,292,40121,0510848582,alessia.bonforte@gmail.com,Bologna,PRSTQT83D22C338N,
Bonsignore,Tibaldo,M,1986-01-31,BNSTLD95M15E622F,Via F.Riso,211/h,40121,0510848585,tibaldo.bonsignore@libero.it,Bologna,PGLMNA68C10G629P,
Bracone,Arianna,F,1990-11-30,BRCRNN64C54G084E,Via Barbarigo,14,40121,0510848571,arianna.bracone@aruba.it,Bologna,CLVSDI28P61D491Y,
Borsari,Adone,M,1938-11-14,BRSDNA44C25H047K,Via Val di Fassa,226,40121,0510848583,adone.borsari@aruba.it,Bologna,CGNLPA09H29D675D,
Bertagnini,Eliana,F,1930-07-26,BRTLNE98E67H468M,Via G.Ragusa,47/b,40121,0510958493,eliana.bertagnini@yahoo.com,Bologna,PNRDLF45C07H350O,
Beschi,Delia,F,2005-07-15,BSCDLE74L41F419V,Via Derna,225,40121,0510656032,dbeschi@teletu.it,Bologna,PGLMNA68C10G629P,
Caccianiga,Dina,F,2003-07-20,CCCDNI79R66C527C,Via F.Muttoni,80,40121,0510656031,dina.caccianiga@tiscali.it,Bologna,PNRDLF45C07H350O,
Caccaviello,Iginio,M,1990-02-09,CCCGNI73S08L730Z,Via Monte Ceneri,31,40121,0510656058,iginio.caccaviello@katamail.it,Bologna,PRSTQT83D22C338N,
Calatrone,Claudio,M,1961-08-23,CLTCLD56S25I351B,Via Privata S.Paolo,96,40121,0510958494,claudio.calatrone@libero.it,Bologna,CHLLVC92M47C950A,
Iacona,Leo,M,1932-02-28,CNILEO63P28F203A,Via Parma,248/g,40121,0510958492,leo.iacona@gmail.it,Bologna,PGLMNA68C10G629P,
Cionini,Riccarda,F,1969-09-14,CNNRCR53S70H221X,Via M.Montessori,185,40121,0510656026,riccarda.cionini@yahoo.it,Bologna,CHNLDE02H52B429N,
Cappello,Iacopo,M,1952-06-22,CPPCPI82H28H233N,Via San Salvatore,276,40121,0510656051,icappello@gmail.it,Bologna,VSCRST81S18A371R,
Cerca,Alarico,M,1975-07-06,CRCLRC78T15G190N,Via Dolfin,140,40121,0510656029,alarico.cerca@yahoo.it,Bologna,CLVSDI28P61D491Y,
Cassaro,Monica,F,1944-02-02,CSSMNC91E46L398J,Via G.Ferrara,217,40121,0510848572,moni.cass@aruba.it,Bologna,CRMRSL34A54F009D,
Costanzi,Camilla,F,1983-05-19,CSTCLL95L64A950W,Via C.Osma,279,40121,0510656038,camilla.costanzi@yahoo.it,Bologna,CRMRSL34A54F009D,
